iter	Passed	Remaining
402	11870	2356
403	11900	2326
404	11930	2297
405	11958	2268
406	11984	2237
407	12010	2207
408	12039	2178
409	12064	2148
410	12093	2118
411	12124	2089
412	12153	2059
413	12181	2030
414	12209	2000
415	12238	1971
416	12266	1941
417	12295	1912
418	12323	1882
419	12352	1852
420	12380	1823
421	12407	1793
422	12434	1763
423	12462	1734
424	12491	1704
425	12517	1674
426	12547	1645
427	12575	1615
428	12605	1586
429	12630	1556
430	12661	1527
431	12689	1498
432	12718	1468
433	12746	1439
434	12775	1409
435	12802	1380
436	12830	1350
437	12859	1321
438	12890	1291
439	12921	1262
440	12948	1233
441	12976	1203
442	13003	1174
443	13030	1144
444	13058	1115
445	13086	1085
446	13113	1056
447	13138	1026
448	13164	996
449	13193	967
450	13220	938
451	13246	908
452	13276	879
453	13300	849
454	13330	820
455	13359	791
456	13387	761
457	13414	732
458	13445	703
459	13473	673
460	13504	644
461	13535	615
462	13564	585
463	13594	556
464	13627	527
465	13655	498
466	13683	468
467	13711	439
468	13739	410
469	13767	380
470	13793	351
471	13823	322
472	13853	292
473	13877	263
474	13905	234
475	13934	204
476	13963	175
477	13994	146
478	14022	117
479	14049	87
480	14076	58
481	14105	29
482	14130	0
